"n","j","method","mean_ISE","sd_ISE","median_ISE","IQR_ISE"
100,1,"WK",0.00058273987994127,0.000598825234430137,0.00058273987994127,0.000423433384011174
100,1,"LG",0.00101004725183577,0.00032551224558271,0.00101004725183577,0.000230171916210795
