"j","n","method","ISE","time_seconds"
6,200,"LG",0.000199314364352275,182.739078521729
1,100,"WK",0.00092823396001617,75.4620983600616
1,100,"LG",0.00128546022615095,693.403064727783
1,200,"WK",0.0017614514289413,68.1371002197266
1,200,"LG",0.000998941915207247,891.083161592484
2,100,"WK",0.00107700855037258,96.1468276977539
2,100,"LG",0.000814005902382837,1092.15651416779
2,200,"WK",0.000114236227749933,22.0144708156586
2,200,"LG",0.000650398385562711,4007.51673173904
3,100,"WK",0.00141745076661993,36.8189377784729
3,100,"LG",0.000517167890934714,544.759150981903
3,200,"WK",0.0026160409089843,91.0553569793701
3,200,"LG",0.00252932470642685,1212.98850846291
4,100,"WK",0.0217189241444985,22.0349581241608
4,100,"LG",0.000870219384098335,211.83886885643
4,200,"WK",0.0602944616980966,53.4833722114563
4,200,"LG",0.0993230405406328,892.751858949661
5,100,"WK",0.000144089235786608,9.11608099937439
5,100,"LG",7.79568217251044e-05,57.9030616283417
5,200,"WK",0.182258810761168,55.434376001358
5,200,"LG",0.0109991961745201,386.210385560989
6,100,"WK",0.0143146600004899,15.4667129516602
6,100,"LG",0.00016229464395649,55.3233306407928
6,200,"WK",0.0726924616512275,75.1200642585754
6,200,"LG",0.112881135190102,778.658406496048
1,100,"WK",0.00100718556272426,66.4574286937714
1,100,"LG",0.000279921607071419,84.3200662136078
1,200,"WK",0.000473058489320573,224.583562850952
1,200,"LG",0.000599792959751096,1296.91668534279
2,100,"WK",0.00150600069431745,48.7884776592255
2,100,"LG",0.000525718955000346,59.6297588348389
2,200,"WK",0.000650495985790627,109.028774261475
2,200,"LG",0.000963747798384113,2106.78739523888
3,100,"WK",0.0087885078688812,57.5238792896271
3,100,"LG",0.00337339908886206,414.72441649437
3,200,"WK",0.013169397446008,208.526780843735
3,200,"LG",2.22463421753124e-07,194.957643985748
4,100,"WK",7.73864116340526e-12,9.57106995582581
4,100,"LG",0.00311588719687215,259.677644014359
4,200,"WK",7.61605719500604e-12,21.4059727191925
4,200,"LG",0.00073092422481491,605.46458029747
5,100,"WK",0.000308531748935679,9.30603718757629
5,100,"LG",0.00571526691376592,157.200922727585
5,200,"WK",0.0269842466659336,39.8391997814178
5,200,"LG",0.00608571693503622,385.964898824692
6,100,"WK",0.0887712598391955,35.6358008384705
6,100,"LG",0.171823345520456,182.722069740295
6,200,"WK",0.0011712352152227,28.5238914489746
6,200,"LG",8.27253757219863e-05,181.484665155411
1,100,"WK",0.00115442117087313,103.343435049057
1,100,"LG",0.00152817437750475,776.309846639633
1,200,"WK",0.000332134489632548,24.879949092865
1,200,"LG",0.00113134292957827,1040.68338942528
2,100,"WK",0.00159042107343265,99.897686958313
2,100,"LG",0.00254643055960932,660.624016046524
2,200,"WK",0.000648502474791237,24.5317018032074
2,200,"LG",0.00153035251336882,2448.62423682213
3,100,"WK",0.00277079948710542,66.8273594379425
3,100,"LG",1.48186925740466e-09,57.8457169532776
3,200,"WK",0.0108957641400592,83.8369171619415
3,200,"LG",3.74138614230286e-08,289.36642408371
4,100,"WK",7.27310398524302e-12,9.38479852676392
4,100,"LG",0.816389214717643,819.57875418663
4,200,"WK",7.73864159165325e-12,21.3405582904816
4,200,"LG",0.418822466673778,1250.64148068428
5,100,"WK",0.000463332628903835,9.19201922416687
5,100,"LG",0.000100350545491244,56.958770275116
5,200,"WK",0.000448507457354045,21.3295905590057
5,200,"LG",8.56702481629014e-05,181.200949907303
6,100,"WK",0.000299472047217781,9.04014873504639
6,100,"LG",0.00018257581627476,54.8462331295013
6,200,"WK",0.100139151953994,113.785643339157
6,200,"LG",0.123285476262323,775.701793193817
1,100,"WK",0.00117386156597552,66.258101940155
1,100,"LG",0.00115997838813426,941.60493016243
1,200,"WK",0.000450745691961069,171.17400598526
1,200,"LG",0.000711741087802986,945.519664287567
2,100,"WK",0.000189930852046508,9.25987887382507
2,100,"LG",0.000914543670208035,1743.42788267136
2,200,"WK",0.000803565050645823,265.029318094254
2,200,"LG",0.00183891236245139,991.917878866196
3,100,"WK",0.00367169499854992,35.4965023994446
3,100,"LG",0.00238250597624226,286.407824516296
3,200,"WK",0.00592800582111024,126.720124483109
3,200,"LG",0.001053262369087,851.603660583496
4,100,"WK",0.65812591761449,43.6173670291901
4,100,"LG",0.352845589985923,850.902937173843
4,200,"WK",7.44487656009423e-12,21.5760235786438
4,200,"LG",5.19949633458136e-12,187.048010349274
5,100,"WK",0.189015944788553,26.6178603172302
5,100,"LG",0.000237206874881813,184.898479700089
5,200,"WK",0.0400396841342588,41.3120229244232
5,200,"LG",0.100518749508787,732.922362565994
6,100,"WK",0.00138044673023453,12.5209634304047
6,100,"LG",0.000130361067583031,56.1135859489441
6,200,"WK",0.0581504588191271,95.5126876831055
6,200,"LG",0.123053991871667,777.402642726898
1,100,"WK",0.000974693984009371,94.0999703407288
1,100,"LG",0.00132316153472636,666.143592834473
1,200,"WK",0.00118581586371442,166.581128358841
1,200,"LG",0.00147446460692068,1456.28017640114
2,100,"WK",0.00019903092964696,9.09160113334656
2,100,"LG",0.00128521973262332,412.573350191116
2,200,"WK",0.000863318060684334,190.584811687469
2,200,"LG",0.00129141850732473,2371.9685883522
3,100,"WK",0.00196351213071946,20.6927015781403
3,100,"LG",8.98702543452264e-06,163.561640024185
3,200,"WK",0.00169423530377042,118.742733716965
3,200,"LG",0.000773506232338543,752.06657743454
4,100,"WK",0.0118672037932422,25.1717524528503
4,100,"LG",0.361603767646674,589.301697969437
4,200,"WK",7.73864178178606e-12,22.5169296264648
